Number of Egyptian,Number of Ethiopians,Number of Iraqi,Number of other nationalities,Observation URI,references,publisher,District URI,Number of Bangladeshi,Number of Sri Lankan,Governorate URI,Number of Sudanese,dataset
153,266,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Immigrants-Lebanon-http%3A%2F%2Fdbpedia.org%2Fresource%2FAkkar_Governorate-http%3A%2F%2Fdbpedia.org%2Fresource%2FAkkar_District,https://data.humdata.org/dataset/dtm-lebanon-migrant-presence-monitoring-mpm,International Organization of Migration,http://dbpedia.org/resource/Akkar_District,127,43,http://dbpedia.org/resource/Akkar_Governorate,10,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Immigrants-Lebanon
53,"3,383",78,28,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Immigrants-Lebanon-http%3A%2F%2Fdbpedia.org%2Fresource%2FBaalbek-Hermel_Governorate-http%3A%2F%2Fdbpedia.org%2Fresource%2FBaalbek_District,https://data.humdata.org/dataset/dtm-lebanon-migrant-presence-monitoring-mpm,International Organization of Migration,http://dbpedia.org/resource/Baalbek_District,157,14,http://dbpedia.org/resource/Baalbek-Hermel_Governorate,6,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Immigrants-Lebanon
0,100,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Immigrants-Lebanon-http%3A%2F%2Fdbpedia.org%2Fresource%2FBaalbek-Hermel_Governorate-http%3A%2F%2Fdbpedia.org%2Fresource%2FHermel_District,https://data.humdata.org/dataset/dtm-lebanon-migrant-presence-monitoring-mpm,International Organization of Migration,http://dbpedia.org/resource/Hermel_District,0,0,http://dbpedia.org/resource/Baalbek-Hermel_Governorate,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Immigrants-Lebanon
"8,581","25,452","8,352","38,642",http://linked.aub.edu.lb/CODEC/Lebanon/observation/Immigrants-Lebanon-http%3A%2F%2Fdbpedia.org%2Fresource%2FBeirut_Governorate-http%3A%2F%2Fdbpedia.org%2Fresource%2FBeirut,https://data.humdata.org/dataset/dtm-lebanon-migrant-presence-monitoring-mpm,International Organization of Migration,http://dbpedia.org/resource/Beirut,"22,478","12,653",http://dbpedia.org/resource/Beirut_Governorate,"7,463",http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Immigrants-Lebanon
10,315,0,5,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Immigrants-Lebanon-http%3A%2F%2Fdbpedia.org%2Fresource%2FBeqaa_Governorate-http%3A%2F%2Fdbpedia.org%2Fresource%2FRashaya_District,https://data.humdata.org/dataset/dtm-lebanon-migrant-presence-monitoring-mpm,International Organization of Migration,http://dbpedia.org/resource/Rashaya_District,17,46,http://dbpedia.org/resource/Beqaa_Governorate,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Immigrants-Lebanon
17,"2,342",29,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Immigrants-Lebanon-http%3A%2F%2Fdbpedia.org%2Fresource%2FBeqaa_Governorate-http%3A%2F%2Fdbpedia.org%2Fresource%2FWestern_Beqaa_District,https://data.humdata.org/dataset/dtm-lebanon-migrant-presence-monitoring-mpm,International Organization of Migration,http://dbpedia.org/resource/Western_Beqaa_District,277,89,http://dbpedia.org/resource/Beqaa_Governorate,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Immigrants-Lebanon
181,"2,134",107,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Immigrants-Lebanon-http%3A%2F%2Fdbpedia.org%2Fresource%2FBeqaa_Governorate-http%3A%2F%2Fdbpedia.org%2Fresource%2FZahle_District,https://data.humdata.org/dataset/dtm-lebanon-migrant-presence-monitoring-mpm,International Organization of Migration,http://dbpedia.org/resource/Zahle_District,"1,726",971,http://dbpedia.org/resource/Beqaa_Governorate,10,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Immigrants-Lebanon
71,"2,782",162,100,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Immigrants-Lebanon-http%3A%2F%2Fdbpedia.org%2Fresource%2FMount_Lebanon_Governorate-http%3A%2F%2Fdbpedia.org%2Fresource%2FAley_District,https://data.humdata.org/dataset/dtm-lebanon-migrant-presence-monitoring-mpm,International Organization of Migration,http://dbpedia.org/resource/Aley_District,945,553,http://dbpedia.org/resource/Mount_Lebanon_Governorate,"2,675",http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Immigrants-Lebanon
241,"1,591","1,245",402,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Immigrants-Lebanon-http%3A%2F%2Fdbpedia.org%2Fresource%2FMount_Lebanon_Governorate-http%3A%2F%2Fdbpedia.org%2Fresource%2FBaabda_District,https://data.humdata.org/dataset/dtm-lebanon-migrant-presence-monitoring-mpm,International Organization of Migration,http://dbpedia.org/resource/Baabda_District,577,71,http://dbpedia.org/resource/Mount_Lebanon_Governorate,432,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Immigrants-Lebanon
243,799,113,190,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Immigrants-Lebanon-http%3A%2F%2Fdbpedia.org%2Fresource%2FMount_Lebanon_Governorate-http%3A%2F%2Fdbpedia.org%2Fresource%2FByblos_District,https://data.humdata.org/dataset/dtm-lebanon-migrant-presence-monitoring-mpm,International Organization of Migration,http://dbpedia.org/resource/Byblos_District,255,55,http://dbpedia.org/resource/Mount_Lebanon_Governorate,6,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Immigrants-Lebanon
